model,training_seed,steps,episodes_path,cases,avg_waiting_time_fixed,avg_waiting_time_dqn,avg_waiting_time_delta,avg_queue_fixed,avg_queue_dqn,avg_queue_delta,throughput_fixed,throughput_dqn,throughput_delta,max_waiting_time_fixed,max_waiting_time_dqn,max_waiting_time_delta,phase_changes_fixed,phase_changes_dqn,phase_changes_delta,forced_changes_fixed,forced_changes_dqn,forced_changes_delta,not_inserted_fixed,not_inserted_dqn,not_inserted_delta,waiting_improvement_pct,queue_improvement_pct,throughput_change_pct,waiting_case_win_rate,all_primary_better,family
approach_s22/models/dqn_150000.zip,22,150000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s22__models__dqn_150000\episodes.csv,30,19.54047853665704,13.259388769966108,-6.281089766690929,16.32166666666667,12.473777777777778,-3.8478888888888902,173.26666666666668,185.4333333333333,12.166666666666655,94.05,87.6,-6.450000000000003,33.0,32.6,-0.3999999999999986,0.0,5.7,5.7,2.433333333333333,0.1,-2.333333333333333,32.1439915348434,23.575342932026285,7.021931512120039,0.8666666666666667,True,approach
approach_s33/models/dqn_100000.zip,33,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s33__models__dqn_100000\episodes.csv,30,19.54047853665704,13.780974668139226,-5.759503868517811,16.32166666666667,13.141000000000002,-3.180666666666667,173.26666666666668,183.8,10.533333333333331,94.05,88.86666666666666,-5.183333333333337,33.0,32.63333333333333,-0.3666666666666671,0.0,6.266666666666667,6.266666666666667,2.433333333333333,0.6,-1.833333333333333,29.47473296374624,19.487388951291734,6.0792612543285856,0.8333333333333334,True,approach
approach_s22/models/dqn_100000.zip,22,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s22__models__dqn_100000\episodes.csv,30,19.54047853665704,14.19439301787193,-5.346085518785108,16.32166666666667,13.585833333333332,-2.735833333333336,173.26666666666668,182.26666666666668,9.0,94.05,85.5,-8.549999999999997,33.0,34.6,1.6000000000000014,0.0,5.6,5.6,2.433333333333333,0.1666666666666666,-2.2666666666666666,27.35903068471991,16.761972837741254,5.194305502116198,0.8333333333333334,True,approach
approach_s11/models/dqn_150000.zip,11,150000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s11__models__dqn_150000\episodes.csv,30,19.54047853665704,14.251284385673769,-5.289194150983269,16.32166666666667,13.407000000000002,-2.914666666666667,173.26666666666668,180.9333333333333,7.666666666666657,94.05,83.51666666666667,-10.533333333333331,33.0,32.666666666666664,-0.3333333333333357,0.0,5.5,5.5,2.433333333333333,0.5,-1.933333333333333,27.06788444848464,17.85765342591647,4.424778761061941,0.8,True,approach
approach_s33/models/dqn_150000.zip,33,150000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s33__models__dqn_150000\episodes.csv,30,19.54047853665704,14.42054727099591,-5.119931265661128,16.32166666666667,13.603333333333332,-2.7183333333333373,173.26666666666668,183.13333333333333,9.866666666666646,94.05,92.8,-1.25,33.0,31.9,-1.1000000000000014,0.0,6.6,6.6,2.433333333333333,0.7,-1.7333333333333332,26.20166776395149,16.654753395282366,5.69449788380145,0.8,True,approach
approach_s22/models/dqn_50000.zip,22,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s22__models__dqn_50000\episodes.csv,30,19.54047853665704,14.432784437372693,-5.107694099284345,16.32166666666667,13.518888888888885,-2.8027777777777843,173.26666666666668,183.3,10.033333333333331,94.05,94.03333333333332,-0.0166666666666657,33.0,34.56666666666667,1.56666666666667,0.0,5.833333333333333,5.833333333333333,2.433333333333333,0.4666666666666667,-1.9666666666666663,26.13904306234131,17.172129752544368,5.790688726433242,0.8,True,approach
approach_s11/models/dqn_100000.zip,11,100000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s11__models__dqn_100000\episodes.csv,30,19.54047853665704,15.049615296328977,-4.490863240328061,16.32166666666667,14.303388888888888,-2.018277777777781,173.26666666666668,178.03333333333333,4.766666666666652,94.05,79.9,-14.149999999999991,33.0,32.5,-0.5,0.0,6.0,6.0,2.433333333333333,0.4,-2.033333333333333,22.982360600347672,12.365635317743989,2.7510580992689406,0.8,True,approach
approach_s11/models/dqn_50000.zip,11,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s11__models__dqn_50000\episodes.csv,30,19.54047853665704,15.399441321670992,-4.141037214986046,16.32166666666667,14.54911111111111,-1.7725555555555594,173.26666666666668,179.76666666666668,6.5,94.05,82.25,-11.799999999999995,33.0,36.06666666666667,3.06666666666667,0.0,5.433333333333334,5.433333333333334,2.433333333333333,0.2333333333333333,-2.2,21.1920972519565,10.86013819394808,3.751442862639476,0.8,True,approach
approach_s33/models/dqn_50000.zip,33,50000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s33__models__dqn_50000\episodes.csv,30,19.54047853665704,15.774455633427458,-3.76602290322958,16.32166666666667,14.966833333333335,-1.3548333333333336,173.26666666666668,177.5,4.23333333333332,94.05,95.31666666666666,1.2666666666666655,33.0,34.833333333333336,1.833333333333336,0.0,6.4,6.4,2.433333333333333,0.8333333333333334,-1.5999999999999996,19.272930783986144,8.300827121413255,2.4432474028472413,0.7333333333333333,True,approach
approach_s22/models/dqn_20000.zip,22,20000,C:\Users\minwo\OneDrive\문서\ChatGPT\Capstone\traffic-rl\results\selection_approach\approach_s22__models__dqn_20000\episodes.csv,30,19.54047853665704,17.259694367258543,-2.280784169398494,16.32166666666667,15.768333333333334,-0.5533333333333346,173.26666666666668,177.03333333333333,3.766666666666652,94.05,108.43333333333334,14.38333333333334,33.0,35.766666666666666,2.7666666666666657,0.0,7.5,7.5,2.433333333333333,0.0,-2.433333333333333,11.672099867563878,3.3901766567956773,2.173913043478252,0.6333333333333333,True,approach
